Mensahe di Pasco di Gobernador di Aruba 2019	Governor’s Christmas speech 2019
Gobernador di Aruba Sr. Alfonso Boekhoudt a duna su mensahe di Pasco riba 24 december ultimo	On Christams eve, December 24, the Governor of Aruba Mr. Alfonso Boekhoudt gave his traditional Christmas speech
Por a wak e discurso di Pasco di Gobernador via e canalnan di television local	The governor's Christmas speech was shown at the local television stations
Por lesa aki e texto integral di e mensahe di Pasco di Excelencia Gobernador Boekhoudt	Read the full text of Governor Alfonso Boekhoudt 's speech
Prijsnan maximo 21 di december 2019	Maximum prices December 21, 2019
Departamento di Asunto Economico ta informa tocante e prijsnan maximo p’e periodo aki	Department of Economic Affairs announces the maximum prices for the coming period
Entrante 21 di december 2019 a fiha e prijsnan maximo pa diferente producto. E prijsnan maximo stipula ta inclui BBO, BAZV y BAVP	As per December 21, 2019 the following prices are established for various products. The established maximum sales prices include BBO, BAZV and BAVP
Na caha di un supermercado no por bolbe cobra BBO, BAZV y BAVP riba e productonan regula	Grocers are not allowed to calculate BBO, BAZV and BAVP again on the regulated products at checkout
Pa cualkier keho por yama tel: 521-2400 ext.251	If you have a complaint please call tel: 521-2400 extension 251
Pa bo conveniencia por download e lista di prijsnan maximo	For more information see attached list
Discurso di Pasco Gobernador 24 di december 2019	Christmas speech Governor on December 24, 2019
Riba 24 di december 2019, bispo di Pasco di Nacemento, Gobernador di Aruba Sr. Alfonso Boekhoudt lo duna su tradicional discurso di Pasco via e canalnan di television local	On Christmas Eve, December 24, 2019, the Governor of Aruba Alfonso Boekhoudt will give a Christmas speech on the local television stations
E programa special aki lo pasa anochi pa 8.00pm na Canal 22, DiarioTV-Canal 48 y Telearuba	Canal 22, Diario TV-Canal 48 and Telearuba will broadcast this special program at 20:00 hrs (8.00 p.m.)
Ta invita henter e comunidad di Aruba pa sintonisa television local diamars 24 di december pa e mensahe di Pasco di Gobernador Boekhoudt	The entire community is invited to watch the Governor’s Christmas message on local television this Tuesday, December 24
Nota: Por uza e potret den anexo cu e siguente mencion	Note: The photograph in the attachment may be used with the reference
Potret: Gabinete di Gobernador	Photo: Cabinet Governor
E siguiente condicionnan ta aplicabel riba e potret	The following conditions apply to the photo
Gabinete di Gobernador di Aruba (KabGA) tin derecho di autor riba e potret den e seccion aki y ta reserva esaki explicitamente	The copyright on the photograph in this section rests with the Cabinet of the Governor of Aruba (KabGA) and is expressly reserved
Sin embargo, ta permiti pa uza e potret pa uzo editorial door di e medionan di comunicacion, pa exhib’e den lugarnan publico, pa uzo priva y pa meta educativo	However, it is permitted to use the photographs for editorial use in news media, for display in public places, private use, and educational purposes
Sin embargo, KabGA ta reserva e derecho di actua si e metodo di publicacion di e potret, segun opinion di KabGA, ta contra dignidad gubernamental, ta considera su uzo como di indole promocional (propaganda) of ta uz’e cu un proposito idealista	However, KabGA reserves the right to act if according to KabGA opinion the (method of) publication of the photo is contrary to governmental dignity, can be regarded as promotional use (advertising) or is used with an idealistic purpose
KabGA lo no reacciona riba pregunta di tercera persona si tuma medida (legal) den algun caso	The KabGA does not respond to questions from third parties if in certain cases (legal) steps are taken
Departamentonan gubernamental cera durante fin di aña	Public sector closing days at the end of the year
Tur departamento di gobierno lo ta cera ariba dianan 24, 25, 26 y 31 di december 2019 y 1 y 2 di januari 2020	All government services are closed on December 24, 25, 26 and 31, 2019 and January 1 and 2, 2020
Algun departamento lo ta cera caba for di 23 di december te cu 3 di januari 2020 debi cu e personal ta tuma vacacion colectivo cu aprobacion di nan respectivo ministro	Some government services will be closed from December 23 to January 3, as employees will collectively take their vacation days
Archivo Nacional Aruba (ANA)	National Archives Aruba
Dienst Publieke Scholen (DPS)	Public Schools Service
Departamento di Recurso Humano (DRH)	Departamento di Recurso Humano (DRH)
Instituto Alarma y Seguridad Aruba (IASA)-Vondellaan	Instituto Alarma y Seguridad Aruba (IASA) Vondellaan
Directie Cultuur Aruba (DCA)	Department of Culture
Departamento di Integracion, Maneho y Admision di Stranhero (DIMAS)	Departamento di Integracion, Maneho y Admision di Stranhero (DIMAS)
E siguiente departamentonan lo ta cera for di 23 di december te cu 2 di januari 2020	The following services are closed from December 23 to January 2, 2020
Dienst Inspectie van het Onderwijs	Education Inspectorate
Inspectie Volksgezondheid Aruba (IVA)	Public Health Inspectorate Aruba
Departamento di Aviacion Civil (DCA)	Department of Civil Aviation
Departamento di Finansa (DFIN)	Department of Finance
